nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
"Logitech K280e Pro Clavier Filaire Business pour Windows/Linux/Chrome, Plug-and-Play USB, Saisie Discrète, Taille Standard, Résistant aux Eclaboussures, AZERTY Français - Noir",Logitech,"24,25€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Logitech G Driving Force Levier de Vitesse pour Volant de Course G29, G920 et G923, 6 Vitesses, Enclenchement de la Marche Arrière par Pression, Conception Acier et Cuir - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech C920s HD Pro Webcam Streaming, Full HD 1080p/30ips, Appels Vidéos, Audio Clair, Correction Automatique de la Lumière, Volet de Protection, Skype, Zoom, Camera PC/Mac/Portable/Tablette/XBox",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech Ergo M575S Souris trackball sans Fil, Souris Ergonomique sans Fil avec Bluetooth et dongle chiffré, contrôle Confortable par Le Pouce, Suivi précis et Fluide, pour PC/Mac - Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech MK540 Combo Clavier Souris sans Fil Windows, Connexion 2.4 GHz avec Récepteur USB Unifying, Touches Multimédia, Batterie Longue Durée 3 Ans, PC/Portable, Clavier AZERTY Français - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,Indisponible,1
"TZMRIT X Aula WIN60 HE,60% Clavier mécanique de Jeu avec câble, Interrupteur magnétique remplaçable à Chaud, Mode d'activation Rapide réglable, fréquence de réglage 8000 Hz (Blanc)",Logitech,"37,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Lampe vidéo LED ULANZI K20 Key Light, Panneau LED Professionnel pour Studio avec 600 lumens et 10W, Lumière vidéo 11"" dimmable (2500K-9000K), pour Youtube/Diffusion en Direct",Logitech,"59,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Kit de microphone USB de jeu avec bras perche – Micro à condensateur RVB avec suppression du bruit, réglage de la réverbération du bouton muet, surveillance pour le streaming, les podcasts, la",Logitech,"39,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,2
"TZMRIT X Aula WIN60 HE,60% Clavier mécanique de Jeu avec câble, Interrupteur magnétique remplaçable à Chaud, Mode d'activation Rapide réglable, fréquence de réglage 8000 Hz (Blanc)",Logitech,"37,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,2
"NitroPC - Pack Bronze | PC Gaming Complet (AMD Ryzen 5 5655G 6/12 4,4GHz, RX Vega 7, RAM 16Go, SSD 512Go, Windows 11 Pro | WiFi, Moniteur 24"", Clavier, Souris, Casque) Ordinateur de Bureau (Noir)",Logitech,"699,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,7",0,En stock,2
LOFREE Souris sans fil Bluetooth 4000 DPI Écran OLED Mac Windows PC,Logitech,"80,00€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,En stock,2
"Logitech G Astro A50 LIGHTSPEED, casque gaming sans fil + station d’accueil (Gen 5), PRO-G GRAPHENE, basculement entre 3 systèmes, USB-C vers Xbox, PS5, PC, Nintendo Switch, Switch 2, Bluetooth - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,2
